TS028 - National identity (detailed),,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 10 November 2024],,,,,,,,,,,,,,,,,,,
Population :,All usual residents,,,,,,,,,,,,,,,,,,
Units      :,Persons,,,,,,,,,,,,,,,,,,
Date       :,2021,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
local authority: county / unitary (as of April 2023),mnemonic,Total: All usual residents,UK identity,Other identity only,Other identity only: European,Other identity only: European: Non-EU countries,Other identity only: African,Other identity only: Middle Eastern and Asian: Middle Eastern,Other identity only: Middle Eastern and Asian: Eastern Asian,Other identity only: Middle Eastern and Asian: Southern Asian,Other identity only: Middle Eastern and Asian: South-East Asian,Other identity only: Middle Eastern and Asian: Central Asian,Other identity only: Middle Eastern and Asian: Asian not otherwise specified,Other identity only: American and Caribbean: North American,Other identity only: American and Caribbean: Central American,Other identity only: American and Caribbean: South American,Other identity only: American and Caribbean: Caribbean,Other identity only: Antarctican and Oceanian: Australasian,Other identity only: Antarctican and Oceanian: Other Oceanian
,,,,,,,,,,,,,,,,,,,
Hartlepool,E06000001,92342,90294,2048,986,249,185,261,70,197,76,0,20,36,35,9,19,19,2
Middlesbrough,E06000002,143925,132520,11405,4077,546,2337,913,273,2915,263,9,103,65,14,28,30,21,0
Redcar and Cleveland,E06000003,136532,134487,2045,1074,391,118,240,54,123,95,3,8,62,8,13,9,23,5
Stockton-on-Tees,E06000004,196591,190523,6068,2258,539,923,522,211,1065,321,6,41,117,70,35,17,66,5
Darlington,E06000005,107793,102856,4937,3191,430,261,272,75,526,113,2,30,92,20,36,16,28,15
County Durham,E06000047,522066,508401,13665,6699,1848,719,551,1848,920,581,16,58,580,91,129,51,168,8
Northumberland,E06000057,320572,314634,5938,3368,1482,274,293,145,273,216,8,34,211,57,57,30,154,3
Newcastle upon Tyne,E08000021,300128,265229,34899,14870,2222,3905,3371,2697,5553,1170,23,206,558,128,250,84,169,7
North Tyneside,E08000022,208968,202530,6438,3442,1060,430,223,252,686,250,2,27,199,33,82,10,116,18
South Tyneside,E08000023,147774,144187,3587,1776,505,303,206,68,548,180,6,47,58,23,55,22,23,1
Sunderland,E08000024,274174,266078,8096,3543,684,1533,331,308,970,638,2,96,113,15,47,27,40,1
Gateshead,E08000037,196153,186587,9566,4934,1070,971,1243,355,628,276,3,50,171,77,78,23,58,13
Halton,E06000006,128473,124512,3961,2558,429,172,217,87,148,100,3,27,62,31,37,12,26,6
Warrington,E06000007,210977,198594,12383,8506,1093,504,277,394,848,289,2,68,162,9,84,39,120,3
Blackburn with Darwen,E06000008,154733,141887,12846,6386,473,746,294,105,4407,133,8,98,69,42,27,27,30,1
Blackpool,E06000009,141036,133888,7148,4529,417,280,175,144,679,471,0,69,75,1,20,52,47,6
Cheshire East,E06000049,398768,376940,21828,14701,2254,900,349,501,1412,782,4,120,457,51,206,87,297,3
Cheshire West and Chester,E06000050,357151,340579,16572,10098,2194,887,348,410,1080,516,6,44,476,52,225,43,235,8
Cumberland,E06000063,273252,265490,7762,5151,1074,431,200,178,418,276,4,48,180,7,49,23,133,4
Westmorland and Furness,E06000064,226594,218834,7760,5405,1585,370,81,155,219,335,2,46,285,12,56,30,156,1
Bolton,E08000001,295966,267704,28262,12625,1193,3931,1272,362,7686,293,4,207,165,65,130,64,57,5
Bury,E08000002,193849,180334,13515,6496,1055,1297,698,223,2536,177,7,104,185,23,87,48,72,2
Manchester,E08000003,551937,441025,110912,48373,5331,15001,6559,6620,19309,2052,41,472,1174,210,1092,1071,466,14
Oldham,E08000004,242087,221393,20694,10150,732,2030,433,207,5934,153,7,214,95,78,87,92,41,3
Rochdale,E08000005,223773,204738,19035,9604,647,2156,643,299,4033,181,3,371,72,67,79,65,56,14
Salford,E08000006,269921,234942,34979,18453,2078,5506,2697,1226,2594,511,13,122,447,71,508,118,173,9
Stockport,E08000007,294773,280104,14669,6073,1720,899,1169,548,2016,366,5,101,279,46,167,82,154,2
Tameside,E08000008,231069,217590,13479,6842,811,1556,449,408,2573,197,3,74,91,22,93,57,55,0
Trafford,E08000009,235047,216857,18190,6793,1695,1267,728,1549,2979,323,12,76,344,53,192,211,210,3
Wigan,E08000010,329329,315771,13558,8344,1066,1243,766,363,942,304,4,72,138,37,127,47,94,10
Knowsley,E08000011,154520,149168,5352,2988,494,431,176,116,476,128,1,25,66,20,186,10,17,0
Liverpool,E08000012,486090,433731,52359,24356,3701,5167,5096,3863,3982,1105,15,257,635,152,1397,199,230,5
St. Helens,E08000013,183257,177212,6045,3774,620,335,241,138,361,146,0,37,95,30,82,27,57,1
Sefton,E08000014,279240,266885,12355,8114,1472,476,323,223,610,244,1,98,174,22,259,45,111,2
Wirral,E08000015,320192,310195,9997,5035,1695,479,371,409,767,299,2,124,231,37,121,61,165,1
Lancashire,E10000017,1235355,1169032,66323,38875,4946,3287,1825,1945,11573,1353,17,413,899,114,313,219,452,28
"Kingston upon Hull, City of",E06000010,267013,240017,26996,20007,1423,2047,1478,502,1197,691,3,101,134,38,67,59,64,14
East Riding of Yorkshire,E06000011,342215,332623,9592,6654,1448,357,160,211,398,268,3,21,239,31,140,41,178,20
North East Lincolnshire,E06000012,156969,150486,6483,4829,369,398,147,133,345,199,0,35,53,10,29,11,28,7
North Lincolnshire,E06000013,169688,158667,11021,8833,555,307,171,143,615,310,2,47,67,1,63,12,48,0
York,E06000014,202827,187910,14917,7632,2327,638,390,2172,1109,484,21,43,626,92,221,52,227,16
North Yorkshire,E06000065,615491,591924,23567,14326,3342,861,281,620,1775,568,5,73,1777,46,183,125,495,388
Barnsley,E08000016,244577,233568,11009,8697,889,606,256,201,306,193,2,41,78,21,80,22,35,12
Doncaster,E08000017,308113,286480,21633,16716,1149,1115,631,240,1255,316,3,123,159,46,49,81,69,8
Rotherham,E08000018,265811,255204,10607,6498,813,976,382,236,1405,205,0,87,102,38,31,41,47,4
Sheffield,E08000019,556519,505070,51449,23104,4927,7276,4035,4925,5922,1405,30,308,654,215,374,344,252,10
Bradford,E08000032,546415,498176,48239,22818,2257,4057,1758,530,15006,603,13,476,374,114,131,248,170,9
Calderdale,E08000033,206632,197124,9508,4903,1373,433,358,105,2117,186,6,60,131,37,46,40,107,2
Kirklees,E08000034,433215,407716,25499,10992,1910,2412,1439,648,6457,481,13,232,296,76,82,416,161,7
Leeds,E08000035,811949,731622,80327,40243,5694,11166,5020,4179,8827,1865,48,380,1065,210,600,642,523,9
Wakefield,E08000036,353366,333851,19515,14039,1251,1466,569,234,1434,355,3,96,141,44,109,31,134,23
Derby,E06000015,261371,230008,31363,18333,1369,2335,965,521,5951,614,4,230,181,53,171,262,68,4
Leicester,E06000016,368570,279618,88952,46363,2620,6831,1798,1461,27827,679,14,557,405,45,185,406,116,31
Rutland,E06000017,41059,39449,1610,819,286,139,12,81,49,40,2,6,64,2,8,83,59,47
Nottingham,E06000018,323630,270338,53292,26443,2595,6953,2934,2543,7757,1513,22,392,473,129,411,920,162,7
North Northamptonshire,E06000061,359526,322629,36897,28107,2490,2438,97,236,1673,479,5,124,1030,27,132,218,152,3
West Northamptonshire,E06000062,425727,371388,54339,38777,4754,4490,241,543,4121,632,21,138,979,26,186,269,347,14
Derbyshire,E10000007,794639,772436,22203,14687,3892,1000,206,565,1290,608,8,126,538,39,186,114,312,15
Leicestershire,E10000018,712366,678569,33797,19739,3457,2200,575,1429,4247,818,18,275,659,53,239,172,383,29
Lincolnshire,E10000019,768366,715398,52968,43436,3666,1599,413,833,1519,795,11,166,908,50,322,123,317,13
Nottinghamshire,E10000024,824826,783383,41443,28470,4247,2204,973,1313,2498,896,16,217,676,73,338,238,363,66
"Herefordshire, County of",E06000019,187030,175937,11093,8641,1395,272,149,111,542,282,0,38,190,13,71,25,134,30
Telford and Wrekin,E06000020,185538,172033,13505,9044,726,1515,170,308,1329,172,0,48,114,9,46,67,55,10
Stoke-on-Trent,E06000021,258367,236574,21793,12848,993,2181,946,414,3405,439,7,230,130,26,112,76,35,191
Shropshire,E06000051,323604,311578,12026,7678,1931,451,315,428,601,353,6,48,334,21,55,35,235,62
Birmingham,E08000025,1144920,987932,156988,67734,8026,20142,6821,5898,33764,2337,69,1463,1275,167,908,3474,456,24
Coventry,E08000026,345326,281961,63365,32012,2622,8116,2156,2957,10998,1083,40,559,336,79,318,326,142,6
Dudley,E08000027,323487,310225,13262,6670,897,1111,618,270,2691,264,5,147,144,13,71,291,43,4
Sandwell,E08000028,341830,294631,47199,22647,1468,3948,1213,447,15083,295,1,532,189,83,170,1053,33,5
Solihull,E08000029,216237,205786,10451,3936,813,537,194,615,2013,257,4,67,194,20,129,128,136,4
Walsall,E08000030,284123,260997,23126,12064,698,2015,352,234,6348,233,2,248,132,10,62,307,30,6
Wolverhampton,E08000031,263732,226706,37026,18565,1040,4157,1132,273,9767,405,2,381,146,31,96,806,44,9
Staffordshire,E10000028,876108,842297,33811,22766,3195,1394,471,784,3204,905,29,152,483,28,232,195,248,43
Warwickshire,E10000031,596772,549892,46880,29062,3825,1970,411,1459,6370,865,22,247,931,83,545,205,548,21
Worcestershire,E10000034,603674,573350,30324,22066,3090,1156,318,641,1715,663,12,133,517,30,169,165,312,5
Peterborough,E06000031,215678,173106,42572,32008,1551,2109,658,216,4407,562,4,222,558,27,391,164,112,15
Luton,E06000032,225263,175045,50218,27830,1877,3838,306,245,12086,508,6,594,185,11,164,654,66,2
Southend-on-Sea,E06000033,180686,167832,12854,7131,1255,1362,161,229,1382,569,1,203,191,16,111,103,163,3
Thurrock,E06000034,175998,154246,21752,14742,1229,2933,103,138,1976,246,8,83,112,7,129,167,66,3
Bedford,E06000055,185224,161253,23971,16201,1543,1614,136,224,3081,302,3,97,271,23,181,219,135,1
Central Bedfordshire,E06000056,294246,275054,19192,11699,1566,1316,195,546,1350,422,8,104,358,30,162,176,273,8
Cambridgeshire,E10000003,678853,593105,85748,51486,8191,3367,991,5185,5600,2980,73,351,6753,302,1140,270,1516,9
Essex,E10000012,1503519,1418678,84841,48865,8298,7485,914,2176,8099,2651,79,482,1694,153,937,652,1208,116
Hertfordshire,E10000015,1198796,1079497,119299,68192,10133,9249,1594,2744,12364,3020,77,884,2456,152,1761,850,1910,11
Norfolk,E10000020,916118,855992,60126,40946,6533,2811,859,1643,3632,1781,26,284,3205,113,563,183,617,34
Suffolk,E10000029,760687,706131,54556,29741,4832,1976,722,813,2812,1416,16,242,12100,131,392,341,521,101
City of London,E09000001,8583,5697,2886,1457,316,71,57,365,138,117,6,7,219,14,89,10,142,0
Barking and Dagenham,E09000002,218877,166639,52238,31913,2814,7060,214,392,9485,506,23,217,159,15,265,449,59,3
Barnet,E09000003,389349,302863,86486,49306,7417,5624,6215,4452,6193,2860,191,606,1580,132,1559,379,840,26
Bexley,E09000004,246467,220688,25779,12625,1822,4639,142,762,3469,529,93,239,278,23,297,260,199,6
Brent,E09000005,339817,233178,106639,57992,3820,5905,4299,1550,18400,2534,54,1025,1121,108,2971,1603,890,21
Bromley,E09000006,329990,295465,34525,17609,3709,2852,327,1422,3481,1140,32,265,801,51,1043,620,795,4
Camden,E09000007,210133,154077,56056,27096,5449,2743,1931,4968,2833,2430,101,197,4703,278,1492,252,1966,5
Croydon,E09000008,390719,322374,68345,35012,3759,8765,751,1167,9965,1123,38,767,726,92,1899,2872,583,11
Ealing,E09000009,367114,263272,103842,52501,5357,4924,4457,4358,21839,1691,42,1377,1423,105,1432,884,1249,24
Enfield,E09000010,329982,260927,69055,46498,11517,7292,2497,716,2924,815,63,329,383,48,850,1360,389,12
Greenwich,E09000011,289068,225099,63969,31756,4961,9895,492,2372,8720,1434,104,458,1371,105,1380,706,901,11
Hackney,E09000012,259153,200709,58444,31326,7087,5361,1563,1662,1927,877,55,102,3138,169,1905,1316,3370,8
Hammersmith and Fulham,E09000013,183162,133660,49502,27154,3927,2862,1303,2726,1414,2039,64,228,2545,161,1575,474,2251,22
Haringey,E09000014,264233,192123,72110,48073,8220,5123,1771,1493,1712,890,64,104,1525,200,3067,1379,1140,12
Harrow,E09000015,261205,196725,64480,35410,2085,2349,1255,814,16075,865,26,1530,547,25,514,423,269,21
Havering,E09000016,262057,234706,27351,16646,2210,2632,202,410,3132,693,23,157,223,23,247,280,156,4
Hillingdon,E09000017,305909,243603,62306,27910,2653,3601,1046,1164,19864,1043,55,1169,655,60,508,461,288,26
Hounslow,E09000018,288178,207377,80801,40953,4050,3734,1290,1035,24459,1538,51,666,1046,75,855,342,729,46
Islington,E09000019,216584,163065,53519,27447,5809,3200,1119,2799,1756,1203,52,123,3592,156,1774,484,3525,3
Kensington and Chelsea,E09000020,143367,97261,46106,25565,4506,1992,1593,2910,1163,1905,112,174,4518,149,1295,260,1379,6
