local authority: district / unitary (as of April 2021),mnemonic,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Camden,E09000007,1.97,2.06,2.12,2.15,2.25,2.21,2.23,2.23,2.17,2.11,1.98,2.73
City of London,E09000001,68.16,75.79,92.41,110.98,121.23,121.73,121.96,124.78,109.86,102.32,83.73,98.63
Hackney,E09000012,0.58,0.63,0.62,0.6,0.69,0.7,0.73,0.7,0.75,0.77,0.76,0.92
Hammersmith and Fulham,E09000013,1.03,1.03,1.09,1.05,1.12,1.16,1.2,1.21,1.17,1.22,1.28,1.12
Haringey,E09000014,0.4,0.41,0.44,0.46,0.48,0.49,0.48,0.49,0.48,0.48,0.51,0.49
Islington,E09000019,1.32,1.29,1.3,1.36,1.39,1.46,1.44,1.4,1.42,1.44,1.32,1.63
Kensington and Chelsea,E09000020,1.11,1.2,1.28,1.27,1.28,1.36,1.42,1.56,1.55,1.54,1.41,1.54
Lambeth,E09000022,0.68,0.66,0.66,0.72,0.76,0.77,0.73,0.78,0.73,0.76,0.73,0.73
Lewisham,E09000023,0.38,0.39,0.4,0.41,0.43,0.4,0.4,0.42,0.39,0.4,0.39,0.42
Newham,E09000025,0.38,0.41,0.44,0.46,0.48,0.48,0.52,0.51,0.56,0.53,0.55,0.58
Southwark,E09000028,1.09,1.16,1.25,1.17,1.27,1.28,1.34,1.38,1.42,1.38,1.34,1.32
Tower Hamlets,E09000030,1.22,1.32,1.3,1.33,1.32,1.37,1.37,1.4,1.43,1.43,1.32,1.31
Wandsworth,E09000032,0.52,0.55,0.59,0.58,0.57,0.61,0.62,0.64,0.62,0.64,0.62,0.61
Westminster,E09000033,4,4.16,4.26,4.39,4.45,4.42,4.42,4.33,4.29,4.35,3.93,5.25
Barking and Dagenham,E09000002,0.44,0.45,0.46,0.44,0.47,0.48,0.48,0.49,0.49,0.5,0.52,0.5
Barnet,E09000003,0.61,0.62,0.65,0.66,0.68,0.68,0.68,0.7,0.67,0.66,0.64,0.7
Bexley,E09000004,0.53,0.53,0.53,0.54,0.53,0.57,0.56,0.59,0.56,0.59,0.54,0.55
Brent,E09000005,0.54,0.53,0.57,0.57,0.6,0.62,0.67,0.71,0.71,0.71,0.69,0.62
Bromley,E09000006,0.61,0.61,0.62,0.64,0.63,0.61,0.65,0.65,0.62,0.64,0.62,0.6
Croydon,E09000008,0.58,0.56,0.58,0.53,0.58,0.58,0.6,0.63,0.6,0.58,0.58,0.55
Ealing,E09000009,0.55,0.63,0.64,0.65,0.69,0.71,0.73,0.74,0.66,0.71,0.72,0.63
Enfield,E09000010,0.56,0.54,0.57,0.57,0.61,0.63,0.6,0.59,0.62,0.63,0.59,0.58
Greenwich,E09000011,0.49,0.47,0.46,0.48,0.52,0.51,0.51,0.53,0.55,0.55,0.52,0.51
Harrow,E09000015,0.5,0.48,0.5,0.5,0.56,0.55,0.58,0.61,0.57,0.57,0.57,0.5
Havering,E09000016,0.55,0.55,0.56,0.6,0.59,0.6,0.64,0.65,0.65,0.61,0.59,0.64
Hillingdon,E09000017,1.08,1.11,1.15,1.14,1.15,1.04,1.04,1.1,1.06,1.04,1.03,1.01
Hounslow,E09000018,0.83,0.85,0.9,0.94,0.91,1.04,1.1,1.04,1,1.04,0.95,0.86
Kingston upon Thames,E09000021,0.78,0.73,0.73,0.72,0.73,0.82,0.86,0.86,0.83,0.78,0.76,0.8
Merton,E09000024,0.57,0.62,0.65,0.69,0.7,0.7,0.68,0.76,0.77,0.73,0.71,0.63
Redbridge,E09000026,0.43,0.42,0.47,0.45,0.47,0.47,0.48,0.5,0.47,0.49,0.46,0.46
Richmond upon Thames,E09000027,0.68,0.76,0.74,0.76,0.76,0.82,0.87,0.85,0.89,0.82,0.8,0.78
Sutton,E09000029,0.59,0.62,0.63,0.61,0.61,0.62,0.65,0.66,0.6,0.64,0.63,0.71
Waltham Forest,E09000031,0.38,0.4,0.43,0.45,0.46,0.47,0.46,0.47,0.47,0.49,0.46,0.43
