jobs density,,,,,,,,,,,,,
LSOA Name,Borough,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Darlington,E06000005,58000,53000,55000,54000,55000,57000,56000,54000,54000,55000,57000,58000
County Durham,E06000047,177000,186000,180000,189000,191000,199000,190000,201000,203000,206000,201000,209000
Hartlepool,E06000001,33000,32000,30000,32000,34000,34000,34000,34000,33000,35000,33000,36000
Middlesbrough,E06000002,66000,65000,66000,65000,66000,67000,66000,68000,67000,71000,66000,73000
Northumberland,E06000057,124000,122000,117000,121000,120000,125000,122000,130000,128000,132000,122000,126000
Redcar and Cleveland,E06000003,43000,42000,45000,46000,47000,47000,46000,44000,45000,44000,43000,45000
Stockton-on-Tees,E06000004,84000,89000,85000,88000,90000,93000,90000,93000,92000,95000,97000,93000
Gateshead,E08000037,96000,101000,97000,96000,101000,106000,105000,104000,104000,104000,98000,103000
Newcastle upon Tyne,E08000021,187000,190000,191000,190000,195000,199000,200000,205000,207000,211000,200000,207000
North Tyneside,E08000022,78000,77000,79000,77000,84000,89000,89000,93000,94000,94000,89000,92000
South Tyneside,E08000023,48000,48000,49000,50000,49000,52000,47000,49000,48000,48000,46000,49000
Sunderland,E08000024,119000,126000,127000,124000,129000,129000,128000,133000,130000,131000,131000,134000
Blackburn with Darwen,E06000008,66000,64000,67000,71000,72000,72000,76000,74000,79000,73000,76000,77000
Blackpool,E06000009,64000,64000,64000,64000,67000,67000,68000,68000,72000,74000,73000,75000
Cheshire East,E06000049,189000,192000,196000,201000,207000,217000,210000,214000,217000,222000,219000,222000
Cheshire West and Chester,E06000050,167000,168000,168000,173000,176000,185000,199000,204000,199000,201000,187000,191000
Halton,E06000006,56000,59000,61000,55000,60000,62000,65000,69000,70000,72000,70000,69000
Warrington,E06000007,125000,129000,129000,134000,135000,136000,154000,151000,149000,154000,153000,155000
Allerdale,E07000026,39000,44000,45000,43000,42000,43000,42000,43000,46000,47000,42000,42000
Barrow-in-Furness,E07000027,31000,31000,31000,32000,33000,35000,34000,33000,33000,33000,32000,30000
Carlisle,E07000028,62000,58000,67000,64000,66000,67000,66000,64000,65000,64000,66000,67000
Copeland,E07000029,33000,31000,33000,34000,34000,35000,37000,39000,38000,38000,35000,37000
Eden,E07000030,30000,29000,29000,31000,30000,31000,32000,30000,30000,34000,33000,33000
South Lakeland,E07000031,56000,60000,60000,63000,62000,61000,66000,62000,64000,69000,64000,59000
Bolton,E08000001,111000,113000,113000,117000,119000,121000,126000,128000,132000,134000,133000,137000
Bury,E08000002,72000,72000,73000,75000,75000,76000,83000,79000,85000,86000,76000,83000
Manchester,E08000003,346000,343000,354000,378000,385000,400000,429000,442000,450000,460000,455000,470000
Oldham,E08000004,87000,83000,84000,88000,87000,91000,95000,101000,98000,94000,91000,94000
Rochdale,E08000005,79000,78000,81000,78000,82000,81000,82000,85000,88000,88000,85000,84000
Salford,E08000006,128000,126000,127000,128000,129000,129000,130000,141000,145000,151000,143000,154000
Stockport,E08000007,137000,140000,140000,136000,140000,140000,145000,145000,155000,158000,149000,158000
Tameside,E08000008,74000,77000,76000,76000,77000,79000,79000,77000,80000,84000,79000,82000
Trafford,E08000009,134000,142000,142000,147000,154000,161000,163000,164000,167000,172000,165000,179000
Wigan,E08000010,115000,112000,112000,113000,117000,118000,120000,125000,127000,129000,124000,125000
Burnley,E07000117,37000,40000,38000,38000,40000,43000,45000,44000,42000,45000,43000,44000
Chorley,E07000118,45000,48000,48000,46000,48000,46000,46000,46000,45000,48000,46000,49000
Fylde,E07000119,46000,45000,46000,47000,49000,48000,49000,47000,46000,47000,42000,46000
Hyndburn,E07000120,28000,31000,32000,32000,31000,33000,32000,32000,34000,34000,33000,32000
Lancaster,E07000121,59000,65000,60000,64000,67000,62000,68000,66000,64000,66000,66000,62000
Pendle,E07000122,33000,37000,36000,34000,37000,33000,38000,37000,39000,40000,39000,35000
Preston,E07000123,96000,96000,91000,91000,95000,97000,94000,99000,98000,102000,99000,104000
Ribble Valley,E07000124,35000,35000,35000,36000,29000,33000,35000,34000,31000,36000,36000,30000
Rossendale,E07000125,24000,24000,25000,24000,23000,27000,28000,24000,26000,26000,23000,22000
South Ribble,E07000126,50000,63000,60000,63000,58000,58000,59000,61000,58000,63000,60000,54000
West Lancashire,E07000127,50000,51000,50000,52000,51000,52000,60000,56000,58000,57000,58000,58000
Wyre,E07000128,44000,41000,37000,39000,37000,39000,41000,41000,40000,39000,39000,38000
Knowsley,E08000011,60000,61000,63000,64000,67000,69000,74000,71000,69000,80000,72000,80000
Liverpool,E08000012,243000,250000,249000,253000,258000,265000,272000,280000,285000,299000,284000,295000
Sefton,E08000014,100000,101000,97000,103000,101000,101000,104000,107000,103000,103000,104000,105000
St. Helens,E08000013,65000,66000,68000,66000,68000,67000,68000,72000,69000,69000,69000,73000
Wirral,E08000015,110000,112000,111000,113000,112000,119000,113000,125000,118000,119000,112000,120000
East Riding of Yorkshire,E06000011,136000,135000,131000,131000,138000,139000,148000,150000,149000,150000,141000,146000
"Kingston upon Hull, City of",E06000010,125000,128000,126000,128000,129000,131000,132000,140000,141000,138000,138000,137000
North East Lincolnshire,E06000012,75000,74000,70000,70000,73000,77000,76000,77000,76000,74000,73000,78000
